
1,"Mcentyre, Jake",FR-1,Heidelberg,10.67,Alan Connie Shamrock Invitational,"Mar 16, 2023",3.0
2,"McVicker, Andrew",SO-2,Mount Union,10.71,Dr. Jack M. Toms Alumni Invitational,"Mar 24, 2023",0.8
3,"Clark, Garrett",JR-3,John Carroll,10.76,Bob Kahn Invitational,"Mar 31, 2023",2.0
4,"Kartsonas, Jimmy",SO-2,John Carroll,10.94,Bob Kahn Invitational,"Mar 31, 2023",2.0
5,"Zeren, Vincent",SO-2,Otterbein,11.03,Amy Adams Memorial,"Mar 24, 2023",-3.1
6,"Trammell, Jalen",JR-3,Heidelberg,11.04,Alan Connie Shamrock Invitational,"Mar 16, 2023",5.4
7,"Epps, Jaylin",SO-2,Denison,11.12,55th Annual Centre College Track & Field Invitational,"Apr 1, 2023",1.4
8,"Paydock, Samuel",SO-2,Mount Union,11.13,Dr. Jack M. Toms Alumni Invitational,"Mar 24, 2023",1.4
8,"Kuklica, Elijah",FR-1,Marietta,11.13,Amy Adams Memorial,"Mar 24, 2023",-1.9
10,"Rohde, Joseph",SO-2,Franciscan (Ohio),11.14,Alan Connie Shamrock Invitational,"Mar 16, 2023",2.5
11,"Shannon, Tylir",JR-3,Mount Union,11.15,Dr. Jack M. Toms Alumni Invitational,"Mar 24, 2023",1.4
11,"Bila, Joaquim",FR-1,Ohio Wesleyan,11.15,Amy Adams Memorial,"Mar 24, 2023",-1.9
13,"Young, Ishmael",SO-2,Capital,11.17,Vertklasse,"Mar 31, 2023",0.5
13,"Lehrer, Carson",SO-2,Heidelberg,11.17,Alan Connie Shamrock Invitational,"Mar 16, 2023",4.5
15,"Weisenberger, Joshua",SO-2,Wittenberg,11.18,Yellow Jacket Collegiate Outdoor,"Mar 25, 2023",2.0
16,"Malloy, Aiden",SO-2,Mount Union,11.21,Dr. Jack M. Toms Alumni Invitational,"Mar 24, 2023",0.9
17,"Gono Phiri, Tapiwa",SO-2,Kenyon,11.24,Bob Kahn Invitational,"Mar 31, 2023",2.0
17,"Hiser, Daniel",SO-2,Capital,11.24,Vertklasse,"Mar 31, 2023",1.5
19,"Paige, Brandon",SO-2,Mount Union,11.25,Dr. Jack M. Toms Alumni Invitational,"Mar 24, 2023",1.3
19,"Callow, Brett",SO-2,Case Western,11.25,Carnegie Mellon Track & Field Invitational,"Mar 24, 2023",-0.6
21,"Holley, Malik",SO-2,Denison,11.29,55th Annual Centre College Track & Field Invitational,"Apr 1, 2023",1.4
21,"Bates, Josh",FR-1,Case Western,11.29,Bob Kahn Invitational,"Mar 31, 2023",0.4
23,"Gast, Tyler",FR-1,John Carroll,11.30,Bob Kahn Invitational,"Mar 31, 2023",2.0
24,"Washington Jr., Rodney",FR-1,Baldwin Wallace,11.32,Amy Adams Memorial,"Mar 24, 2023",-2.7
24,"Perez, Juan",SR-4,Case Western,11.32,Bob Kahn Invitational,"Mar 31, 2023",2.0
24,"Mitchell, Noah",FR-1,Muskingum,11.32,Amy Adams Memorial,"Mar 24, 2023",-1.9
27,"Alramahi, Basheer",FR-1,John Carroll,11.33,Bob Kahn Invitational,"Mar 31, 2023",2.0
27,"Lumb, Solomon",FR-1,Ohio Northern,11.33,Tiffelberg Collegiate Open,"Apr 1, 2023",1.2
29,"Freeman, Lorenzo",FR-1,Wooster,11.34,Alan Connie Shamrock Invitational,"Mar 16, 2023",4.9
30,"Cline, Michael",FR-1,Mount Union,11.35,Dr. Jack M. Toms Alumni Invitational,"Mar 24, 2023",+0.0

1,"Wayt, Kenadee",SO-2,Mount Union,12.02,Dr. Jack M. Toms Alumni Invitational,"Mar 24, 2023",0.6
2,"Roncone, Lauren",SO-2,Mount Union,12.47,Dr. Jack M. Toms Alumni Invitational,"Mar 24, 2023",0.8
3,"Lykins, Addystin",SO-2,Ohio Wesleyan,12.50,Amy Adams Memorial,"Mar 24, 2023",-0.6
4,"Agbor-Nkongho, Larissa",JR-3,Capital,12.60,Vertklasse,"Mar 31, 2023",2.8
4,"Markau, Lisa-Maria",SR-4,Defiance,12.60,Tiffelberg Collegiate Open,"Apr 1, 2023",3.1
6,"Anthony, Taylor",JR-3,John Carroll,12.61,Bob Kahn Invitational,"Mar 31, 2023",3.6
7,"Samuels, Cece",SO-2,Capital,12.75,Vertklasse,"Mar 31, 2023",2.6
8,"Klonowski, Jessica",FR-1,Baldwin Wallace,12.80,Amy Adams Memorial,"Mar 24, 2023",-0.6
