
1,"Elfahim, Ayoub",SO-2,Queensborough CC,11.38,Osprey Open and Multi,"Apr 7, 2023",NWI
2,"Gado, Habibu",JR-3,CCNY,11.45,Coach O Invitational,"Apr 2, 2023",1.3
3,"Adekoya, David",FR-1,Queensborough CC,11.58,Coach O Invitational,"Apr 2, 2023",1.3
4,"Barry, Ismael",SO-2,Lehman,11.84,Coach O Invitational,"Apr 2, 2023",1.3
5,"Wilson-Hill, Tahkwai",JR-3,York (N.Y.),11.94,The Big Hurt,"Apr 1, 2023",1.0
6,"Lahens, Ryan",JR-3,York (N.Y.),11.97,2023 TCNJ Invitational,"Apr 8, 2023",1.1
7,"Mondesir, Marvin",SR-4,York (N.Y.),11.99,The Big Hurt,"Apr 1, 2023",0.9
8,"Garcia , Elias",SR-4,Hunter,12.01,Osprey Open and Multi,"Apr 7, 2023",NWI
9,"Taylor , Dontay",SO-2,Kingsborough CC,12.08,Queens College Season Opener,"Mar 25, 2023",NWI
10,"Eweka, Justin",FR-1,Queensborough CC,12.09,Osprey Open and Multi,"Apr 7, 2023",NWI
11,"Washington, Dontay",SO-2,Lehman,12.17,Springfield College Classic,"Apr 8, 2023",0.6
12,"Douglas, Paul",SO-2,Queensborough CC,12.35,Osprey Open and Multi,"Apr 7, 2023",-0.6
13,"Njoku II, Obinna",SO-2,Lehman,12.53,Coach O Invitational,"Apr 2, 2023",-2.9
13,"Fontus, Lesny",FR-1,Kingsborough CC,12.53,Coach O Invitational,"Apr 2, 2023",-0.8
13,"Cassin, Andrew",FR-1,Lehman,12.53,Queens College Season Opener,"Mar 25, 2023",NWI
16,"Mondesir, Kervin",SR-4,York (N.Y.),12.54,The Big Hurt,"Apr 1, 2023",0.5
17,"Byron, Kyle",SO-2,CCNY,12.55,Coach O Invitational,"Apr 2, 2023",-2.9
18,"Kalala, Kamunga",FR-1,CCNY,12.57,Osprey Open and Multi,"Apr 7, 2023",NWI
19,"Nicolas, Chrisnel",SO-2,Queensborough CC,12.62,Osprey Open and Multi,"Apr 7, 2023",-0.6
20,"Cruz, Brian",FR-1,Queensborough CC,12.76,Queens College Season Opener,"Mar 25, 2023",NWI
21,"Brown, Kal-El",FR-1,Lehman,12.77,2023 Danny Curran Invitational,"Mar 30, 2023",-0.4
21,"Elsherbiny, Hamza",JR-3,Hunter,12.77,Osprey Open and Multi,"Apr 7, 2023",NWI
23,"Fernandes, Anthony",FR-1,Hunter,12.82,MSMC 2022 Track Invite,"Mar 25, 2023",+0.0
24,"Douglass Vasquez, Evan",FR-1,Hostos CC,12.84,Queens College Season Opener,"Mar 25, 2023",NWI
25,"Oliveira-Nurse, Antonio",SO-2,CCNY,12.87,Coach O Invitational,"Apr 2, 2023",-0.8

1,"Neptune, Zaria",FR-1,York (N.Y.),13.89,The Big Hurt,"Apr 1, 2023",1.2
1,"Williams, Althea",FR-1,Hunter,13.89,Ramapo College Track & Field Invitational,"Mar 31, 2023",-0.8
3,"Woodberry, Bianca",FR-1,Medgar Evers,14.01,Coach O Invitational,"Apr 2, 2023",2.6
4,"Orwa, Ayayo",FR-1,Hunter,14.05,Osprey Open and Multi,"Apr 7, 2023",NWI
5,"Sissoko, Aminata",SO-2,Lehman,14.07,Springfield College Classic,"Apr 8, 2023",1.7
6,"Maendel, Samantha",FR-1,CCNY,14.19,Osprey Open and Multi,"Apr 7, 2023",NWI
7,"Williams, Savannah",FR-1,Hostos CC,14.25,Queens College Season Opener,"Mar 25, 2023",NWI
8,"Sylvester , Tamicia",FR-1,York (N.Y.),14.26,The Big Hurt,"Apr 1, 2023",1.5
