
1,"Danitz, Liam",FR-1,Hope,10.85,Don McGarey Invitational,"Mar 24, 2023",1.5
2,"Spohn, Greysen",JR-3,Trine,10.94,Indiana Tech Good Friday meet,"Apr 7, 2023",2.0
3,"Chapman, DaMario",SO-2,Albion,10.96,"2023 Albion, Alma, Olivet Triangular","Apr 7, 2023",-0.1
4,"Holloway, Chandler",SR-4,Alma,10.99,Don Kleinow Memorial Invitational,"Apr 14, 2023",0.6
4,"Rice, Devin",FR-1,Alma,10.99,Bill Bippes Cougar Classic - 2nd Annual,"Mar 31, 2023",3.0
6,"Davis, Will",SO-2,Albion,11.01,UNCW Seahawk Invitational,"Mar 3, 2023",1.5
7,"Miller, Charles",JR-3,Olivet,11.07,Don Kleinow Memorial Invitational,"Apr 14, 2023",NWI
8,"Daniels, Alexander",SO-2,Hope,11.10,Don McGarey Invitational,"Mar 24, 2023",3.2
9,"Thonn, Will",SR-4,Trine,11.14,Indiana Tech Good Friday meet,"Apr 7, 2023",1.8
10,"Sanders, Nolan",FR-1,Hope,11.18,Don McGarey Invitational,"Mar 24, 2023",1.5
10,"Brown, Jordon",JR-3,Olivet,11.18,Margaret Simmons Invite 23,"Mar 24, 2023",-0.5
12,"Puczkowski, Ronnie",JR-3,Albion,11.20,UNCW Seahawk Invitational,"Mar 3, 2023",1.4
13,"Frenchko, Devon",SR-4,Alma,11.23,Don Kleinow Memorial Invitational,"Apr 14, 2023",1.6
13,"Williams, Ben",SR-4,Trine,11.23,Indiana Tech Good Friday meet,"Apr 7, 2023",1.8
15,"Harris, Max",SO-2,Trine,11.33,Spartan Invite,"Mar 31, 2023",2.6
16,"Reyes, Micah",SO-2,Calvin,11.37,Don Kleinow Memorial Invitational,"Apr 14, 2023",0.5
17,"Taylor-Browing, Colby",SO-2,Albion,11.40,UNCW Seahawk Invitational,"Mar 3, 2023",2.1
18,"Jonas, Ryan",FR-1,Albion,11.44,UNCW Seahawk Invitational,"Mar 3, 2023",2.3
19,"Maxima, Jordan",FR-1,Alma,11.47,"2023 Albion, Alma, Olivet Triangular","Apr 7, 2023",0.4
